question,answer
Can someone be infected with MERS-CoV and not be ill?,"Yes, infection with MERS-CoV can be asymptomatic. Infected people with no symptoms have been identified because they were tested for MERS-CoV during investigations among contacts of people known to be infected with MERS-CoV. The role of asymptomatic infected individuals in transmission is currently unknown and under investigation."
Is it easy to detect people who are infected with MERS-CoV?,"It is not always possible to identify people infected with the MERS virus because early symptoms of the disease are non-specific. For this reason, all health care facilities should have standard infection prevention and control practices in place. It is also important to investigate the travel history of people with respiratory infection to determine if they have recently visited countries with active MERS-CoV circulation or have had contact with dromedary camels."
What should a person do if she/he has contact with a person who has MERS?,"If you have had close contact with someone infected with MERS-CoV within the last 14 days without using the recommended infection control precautions, you should contact a healthcare provider for an evaluation."
"Should people avoid contact with camels or camel products? Is it safe to visit farms, markets, or camel fairs?","As a general precaution, anyone visiting farms, markets, barns, or other places where animals are present should practice general hygiene measures. These include regular hand-washing before and after touching animals, and avoiding contact with sick animals.The consumption of raw or undercooked animal products, including milk and meat, carries a high risk of infection from a variety of organisms. Animal products processed appropriately through cooking or pasteurization are safe for consumption, but should also be handled with care to avoid cross-contamination with uncooked foods. Camel meat and camel milk are nutritious products that can be consumed after pasteurization, cooking, or other heat treatments.Until more is understood about MERS-CoV, people with diabetes, renal failure, chronic lung disease, and immunocompromised persons are considered to be at high risk of severe disease from MERS-CoV infection. Especially in the Middle East, this group of people should avoid contact with dromedary camels, consuming raw camel milk or camel urine, as well as eating meat that has not been properly cooked.Camel farm and slaughterhouse workers should practice good personal hygiene, including frequent hand washing, facial protection, and protective clothing (which should be removed after work and washed daily). Workers should also avoid exposing family members to soiled work clothing, shoes, or other items that may have come into contact with camels or camel excretions. Sick animals should never be slaughtered for consumption. People should avoid direct contact with any animal that has been confirmed positive for MERS-CoV infection."
Are health care workers at risk from MERS‐CoV?,"Yes. Transmission of MERS-CoV has occurred in health care facilities in several countries, most notably in Saudi Arabia and the Republic of Korea. It is not always possible to identify patients infected with MERS-CoV early or without testing because symptoms and other clinical features may be non-specific.
For this reason, it is important that health care workers apply standard precautions consistently with all patients.Droplet precautions should be added to standard precautions when providing care to all patients with symptoms of acute respiratory infection. Contact precautions and eye protection should be added when caring for suspected or confirmed cases of MERS. Airborne precautions should be applied when performing aerosol‐generating procedures.Infection prevention and control during health care for MERS"
Are there travel restrictions due to MERS-CoV?,"WHO does not currently recommend restrictions on travel or trade with regard to MERS-CoV.National authorities may take precautions to raise awareness of MERS-CoV and its symptoms among travellers, however, based on their own local risk assessment.International travel and health"
What is risk communication?,"Risk communication refers to the real-time exchange of information, advice and opinions between experts or officials and people who face a threat (hazard) to their survival, health or economic or social well-being. Its ultimate purpose is that everyone at risk is able to take informed decisions to mitigate the effects of the threat (hazard) such as a disease outbreak and take protective and preventive action.Risk communication uses many communications techniques ranging from media and social media communications to mass communications and stakeholder and community engagement. It requires the understanding of stakeholder perceptions, concerns and beliefs, as well as their knowledge and practices. Effective risk communication must also identify early on and subsequently manage rumours, misinformation and other communications challenges."
Why is risk communication important?,"Risk communication refers to the real-time exchange of information, advice and opinions between experts or officials and people who face a threat (hazard) to their survival, health or economic or social well-being. Its ultimate purpose is that everyone at risk is able to take informed decisions to mitigate the effects of the threat (hazard) such as a disease outbreak and take protective and preventive action.Risk communication uses many communications techniques ranging from media and social media communications to mass communications and stakeholder and community engagement. It requires the understanding of stakeholder perceptions, concerns and beliefs, as well as their knowledge and practices. Effective risk communication must also identify early on and subsequently manage rumours, misinformation and other communications challenges."
How does risk communication work?,"Risk communication only works when there is communication based on trust between those who know (experts), those in charge (authorities) and those affected. Without trust, people are unlikely to follow the advice given. Listening to and understanding peoples’ beliefs, concerns and perceptions is just as important as providing them with facts and advice.Explaining honestly what is known and admitting what is uncertain is essential. The credibility of those giving advice; their expressions of caring and empathy; and identifying with the audience are factors that make risk communication effective."
What help can countries get to improve their capacity to communicate risk during emergencies?,"Countries report that they have made progress in risk communication capacity over recent years. However, as health emergencies become increasingly complex, as witnessed during the recent Ebola outbreak in West Africa and in the pandemic (H1N1) 2009 influenza virus, more help is being requested from WHO and partners.WHO provides global guidance on best practices for risk communication and is supporting countries to build up capacities through establishing the right policy, strategy and plans for risk communication, providing training for key personnel, engaging and training journalists on how to report on health emergencies, and running simulation exercises to test national systems. In emergencies, WHO provides hands on support for response by deploying its Emergency Communications Network to affected countries and regions to work hand-in-hand with national and local authorities."
Do disasters bring out the worst in human behaviour?,"Although isolated cases of antisocial behaviour exist, the majority of people respond spontaneously and generously."
Are the affected populations too shocked and helpless to take responsibility for their own survival?,"On the contrary, many find new strength during an emergency, as evidenced by the thousands of volunteers who spontaneously unite to sift through the rubble in search of victims after an earthquake."
Are disasters random killers?,"Disasters strike hardest at the most vulnerable group, the poor -- especially women, children and the elderly."
Is locating disaster victims in temporary settlements the best alternative?,"It should be the last alternative. Many agencies use funds normally spent for tents to purchase building materials, tools, and other construction-related support in the affected country."
Do things get back to normal in a few days?,The effects of a disaster last a long time. Disaster-affected countries deplete much of their financial and material resources in the immediate post-impact phase. Successful relief programs gear their operations to the fact that international interest wanes as needs and shortages become more pressing.
Do starving people eat anything?,"It is widely held that people who are starving will be very hungry and eat any food that can be supplied. This attitude is inhumane and incorrect. Even if hungry initially, people often do not consume adequate quantities of unvaried and unfamiliar foods for long enough. More importantly, the starving people are often ill and may not have a good appetite. They will therefore languish in an emaciated state or get even sicker.Even someone well-nourished would fail to thrive on the monotonous diets of three or so commodities (e.g. wheat, beans and oil) that is all that is available, month in, month out, to many refugees and displaced people. And this is aside from the micro-nutrient deficiencies that often develop. This misconception starts, in part, from a failure to agree on explict objectives for food assistance -- which should surely be to provide for health, welfare, and a reasonably decent existence and help in attaining and acceptable state of self-reliance and self-respect. Source: Lancet, Vol. 340, Nov 28, 1992"
Should children with diarrhoea should be intensively fed?,"A view from many years ago, and from non-emergency situations, sometimes persists -- namely, that children must be rehydrated (and diarrhoea prevented) before re-feeding. This policy is incorrect and, with severely malnourished children, it can be fatal. Any child with diarrhoea must be fed, if necessary with a liquid diet by nasogastric tube, at the same time as additional fluids are given. Even if the diarrhoea is profuse, some nutrients are absorbed and can start the recovery process. To begin feeding after rehydration will often be too late. Source: Lancet, Vol. 340, Nov 28, 1992"
Do refugees manage with less?,"This misconception dehumanizes the refugee. It implies that, once uprooted, he or she no longer has the basic human rights to food, shelter and care - that these are now offered as charitable acts and that refugees can (or should) make do on much less than non-refugees.In fact they will often need more than their normal food requirement at first if they have become malnourished and sick before arrival at a camp and need rehabilitation; and may suffer exposure from inadequate shelter. If the only food source is provided by camp organizers, these rations have to be adequate in all nutrients. This requires a mixed food basket, including fruits and vegetables. If this cannot be ensured then trading may have to be encouraged if refugees are not to become undernourished and deficient in micro-nutrients. The fact that some foods may be traded, to add variety to the diet, is no grounds for reducing the ration. Source: Lancet, Vol. 340, Nov 28, 1992"
Does trading foods indicate that people do not need all of the rations?,"If the only food source is provided by camp organizers, these rations have to be adequate in all nutrients. This requires a mixed food basket, including fruits and vegetables. If this cannot be ensured then trading may have to be encouraged if refugees are not to become undernourished and deficient in micro-nutrients. The fact that some foods may be traded, to add variety to the diet, is no grounds for reducing the ration. Source: Lancet, Vol. 340, Nov 28, 1992"
Is a standard ration suitable for all populations?,"The recommended per caput calorie output for a refugee population should vary according to demographic composition, nutritional and health status of the population (allowing for an extra ""catch-up"" allowance where people are malnourished), the activity level the intake is intended to support, environmental temperature, and likely wastage in the chain from supply of food in a country to its consumption by individuals.In other words there is a range of requirements for dietary energy, which will depend on the circumstances, and use of a single figure is likely to lead to either deficit or wastage. The figure of 1900 kcal (commonly assumed to be of general application) often underestimates what is needed. Source: Lancet, Vol. 340, Nov 28, 1992"
Does energy adequacy mean nutritional adequacy?,"The diet needs to be adequate in both quantity and quality, meeting requirements for calories, protein, and micro-nutrients. Where refugees are completely dependent on the ration provided -- for example, in the early stages of an emergency or in closed camps, where trading for diversity cannot be ensured -- the ration must be designed to meet the requirements of all nutrients in full.Often, a ration is designed to meet minimum energy requirements and micro-nutrients are left to look after themselves. How micro-nutrient needs are to be met must be made explicit, especially when the ration provided is calculated on the basis of fully meeting energy needs. Foods should be diverse and palatable, and the special needs of weaning children must be met."
Do disasters cause deaths at random?,"Disasters tend to take a higher toll on the most vulnerable geographic areas (high-risk areas), generally those settled by the poorest people.Source: WHO/PAHO Myths and Realities in the Management of Dead Bodies"
Which types of insecticide-treated nets (ITNs) does WHO consider to be ‘new types’?,"Until a few years ago, all WHO-recommended ITNs contained only pyrethroid insecticide as the active ingredient (AI). These nets were assessed for physical and chemical durability over an anticipated lifespan of 3 years and 20 washes based on WHO standard washing procedures; they are referred to as pyrethroid-only long-lasting insecticidal nets (LLINs). Pyrethroid-only LLINs are the current standard of care across most malaria-endemic countries. All other nets are considered ‘new types’ (see Table 1 under Q&A References). In 2009, the first new type of ITN – PermaNet® 3.0 – received an interim recommendation from the former WHO Pesticide Evaluation Scheme (WHOPES). The net contains a pyrethroid insecticide and the synergist piperonyl butoxide (PBO). The addition of PBO is intended to enhance the killing effect of pyrethroids, particularly in mosquito populations that exhibit metabolic resistance. The public health value of a pyrethroid-PBO net was first demonstrated by Olyset® Plus leading to a conditional policy recommendation that encompasses all WHO prequalified pyrethroid-PBO ITNs. Further studies on the public health value of this and other pyrethroid-PBO nets are underway, with the aim of generating additional evidence to support a full WHO policy recommendation (See question “Are new types of ITNs more expensive than pyrethroid-only LLINs?”). To date, five pyrethroid-PBO products have been prequalified by WHO (Olyset® Plus, PermaNet® 3.0, Veeralin®, Tsara® Boost, and Tsara® Plus).In recent years, other types of new nets treated with 2 AIs have been developed. Interceptor® G2 is a dual AI net treated with the pyrethroid alpha-cypermethrin and the pyrrole insecticide chlorfenapyr; it was prequalified by WHO in January 2018. In March 2019, Royal Guard®, a dual AI net containing the pyrethroid alpha-cypermethrin and the insect growth regulator pyriproxyfen, was added to the list of WHO-prequalified vector control products based on an assessment of a complete product dossier. The listing of both Interceptor® G2 and Royal Guard® in the absence of a specific WHO policy recommendation was an exception made during the transition from WHOPES to the new WHO evaluation process for vector control interventions."
Why do WHO guidelines use both the terms long-lasting insecticidal nets (LLINs) and insecticide-treated nets (ITNs)?,"With the arrival of new types of nets, the term ITN was re-introduced by the Global Malaria Programme as the umbrella term for all nets treated with an insecticide, insect-growth regulator and/or synergist. The term LLIN is only being used for ITN classes for which physical and chemical durability have been comprehensively demonstrated against the WHO thresholds of 20 washes and 3 years of use in the field. In practice, this means that only nets treated with a pyrethroid insecticide alone are presently referred to as LLINs in the WHO  Guidelines for malaria vector control and companion documents."
How do these new types of ITNs differ from the traditional pyrethroid-only LLINs?,"Pyrethroid-PBO ITNs differ from pyrethoid-only LLINs in that they contain the synergist piperonyl butoxide (PBO). PBO, by inhibiting certain metabolic enzymes (e.g. mixed-function oxidases, or MFOs), is intended to enhance the killing of the pyrethroid-resistant mosquito population.Pyrethroid-PBO nets kill susceptible mosquitoes in the same way as pyrethroid-only LLINs, while also overcoming individual pyrethroid resistance. This enhanced action can be expected to diminish over time due to ongoing selection pressure on the mosquito population. In the meantime, these types of nets are a useful intervention to deploy in areas of pyrethroid resistance.The dual active ingredient (AI) nets prequalified by WHO, namely Interceptor® G2 and Royal Guard®, contain pyrethroids and additional chemicals that kill or sterilize mosquitoes in ways that are different from pyrethroids. Both nets are intended to perform better than pyrethroid-only LLINs by killing mosquitoes that carry pyrethroid resistance genes, provided these mosquitoes are susceptible to pyrrole insecticides or to pyriproxyfen. Field studies demonstrating improved impact in reducing or preventing Plasmodium infection and/or malaria disease in humans in areas of pyrethroid resistance are presently not available for these 2 products, nor are there conclusive data on the susceptibility of the local mosquito populations in malaria endemic areas to chlorfenapyr or pyriproxyfen."
Are new types of ITNs more effective than pyrethroid-only LLINs?,"According to available entomological evidence, new types of nets may be more effective at killing or controlling pyrethroid-resistant mosquitoes. Currently, WHO evaluation criteria guide the assessments of the entomological efficacy of ITNs against relevant mosquito strains.The WHO prequalification team for vector control sets the baseline for quality, safety, and efficacy of all products that are prequalified. WHO considers that all types of prequalified new nets will perform at least as well as pyrethroid-only nets prior to field use and degradation due to washing and other wear and tear. WHO is, however, presently not in a position to provide guidance on these products’ potentially superior entomological performance or their chemical and physical durability in the field.With respect to improved malaria control, this has only been demonstrated, to date, for one pyrethroid-PBO net – Olyset® Plus – in one  cluster randomized trial conducted in Tanzania. A second study to demonstrate impact in controlling malaria, deploying two pyrethroid-PBO products – Olyset® Plus and PermaNet® 3.0 – is currently underway in Uganda; results will likely be made available for WHO review in 2020. For Interceptor® G2 and Royal Guard®, trials designed to measure epidemiological impact began in 2019, but data to inform potential WHO policy recommendations will not be available until 2022. A trial with Olyset Duo®, a product similar to Royal Guard®, recently ended in Burkina Faso and showed modestly improved malaria control compared to pyrethroid-only nets.In summary, current evidence indicates that pyrethroid-PBO nets are likely to provide better malaria control than pyrethroid-only LLINs in areas of pyrethroid resistance. The extent to which this effect can be achieved by all pyrethroid-PBO nets is unclear, as no comparative performance data for the different products are available. For Interceptor® G2 and Royal Guard®, it is presently unknown whether their deployment will translate into better impact against malaria than that achieved by pyrethroid-only LLINs, or how their impact compares to pyrethroid-PBO ITNs. However, these dual AI nets do provide a new mode of action, which is desirable for pyrethroid resistance management (see question ""When should a country consider purchasing a new type of ITN?"")."
Are all pyrethroid-PBO nets the same?,"No. The products may differ in terms of their chemical and physical specifications (see Table 1 under Q&A References for overview), regeneration times, and wash resistance. Also, there are key differences in product design with respect to the location of the synergist piperonyl butoxide (PBO) on the net (i.e. all net panels or just the top panel); the PBO loading dose (concentration); and the specific pyrethroid (e.g., alphacypermethrin, deltamethrin, and its concentration). It is unknown whether or how these differences translate into potentially different entomological efficacy over time, or epidemiological impact. A study design to test similar performance of products side-by-side – known as a ‘non-inferiority’ study – is being conducted to investigate whether this method may provide a pragmatic approach to investigate these potential differences, and to provide assurance that a policy recommendation based on epidemiological data for one product is applicable to similar products that are considered to be part of the same intervention class. Non-inferiority data on currently WHO prequalified pyrethroid-PBO nets will be available by the end of 2020."
What is a clinical trial,"For the purposes of registration, a clinical trial is any research
 study that prospectively assigns human participants or groups of humans
 to one or more health-related interventions to evaluate the effects on 
health outcomes. Clinical trials may also be referred to as 
interventional trials. Interventions include but are not restricted to 
drugs, cells and other biological products, surgical procedures, 
radiologic procedures, devices, behavioural treatments, process-of-care 
changes, preventive care, etc. This definition includes Phase I to Phase IV trials."
Which trials should be registered?,"All clinical trials meeting the above definition should be 
registered. Thus, early and late trials, trials of marketed or 
non-marketed products, randomized or non-randomized trials -- all should
 be registered."
What is the difference between a clinical trials register and a clinical trials registry?,"A clinical trials register is the formal record of an 
internationally agreed minimum amount of information about a clinical 
trial. This record is usually stored in and managed using a database. A 
clinical trials registry is the entity that houses the register, and is 
responsible for ensuring the completeness and accuracy of the 
information it contains, and that the registered information is used to 
inform health care decision making. A clinical trials registry is more 
than its database."
Why register clinical trials?,"Why is Trial Registration Important?The registration of all interventional trials is considered to be a scientific, ethical and moral responsibility because:There is a need to ensure that decisions about health care are informed by all of the available evidenceIt is difficult to make informed decisions if publication bias and selective reporting are presentThe Declaration of Helsinki
 states that ""Every clinical trial must be registered in a publicly 
accessible database before recruitment of the first subject"".Improving awareness of similar or identical trials will make it 
possible for researchers and funding agencies to avoid unnecessary 
duplicationDescribing clinical trials in progress can make it easier to identify gaps in clinical trials researchMaking researchers and potential participants aware of recruiting trials may facilitate recruitmentEnabling researchers and health care practitioners to identify 
trials in which they may have an interest could result in more effective
 collaboration among researchers. The type of collaboration may include prospective meta-analysisRegistries checking data as part of the registration process may 
lead to improvements in the quality of clinical trials by making it 
possible to identify potential problems (such as problematic 
randomization methods) early in the research process  How to Register a TrialYou cannot register a trial with WHO. The WHO ICTRP is not a clinical trials registry.To register a trial, submit the details directly to any one of the Primary Registries in the WHO Registry Network or an  ICMJE approved registry.To meet the requirements of the International Committee of 
Medical Journal Editors (ICMJE) you can register your trial with any 
Primary Registry in the WHO Registry Network or an ICMJE approved 
registry.To meet WHO requirements for transparency and publication, it 
is only necessary for your trial to be registered once, in either a 
Primary Registry in the WHO Registry Network or an ICMJE approved 
registry.NOTE: Regulatory, legal, ethical, funding and other 
requirements for oversight and conduct of clinical trials differ from 
country to country. It is recommended that those responsible for 
conducting a clinical trial check to make sure they are complying with 
the specific requirements of each country.  Organizations with PoliciesThe organizations listed below have policies on clinical trial
 registration. If you know of an organization that could be added to 
this list, please contact us.Codes of Research PracticeGuidelines for the Conduct of Research in the Intramural Research Program at NIHNHMRC, Australian Code for the Responsible Conduct of ResearchUK Research Integrity Office, Code of Practice for Research (3.7.13)FundersCanadian Institutes of Health Research (CIHR)National Institute of Allergy and Infectious DiseasesNational Institutes of Health (NIH), United States of AmericaWellcome TrustEthics CommitteesMc Master UniversityHealth Research Authority (HRA), UK The Royal Children's Hospital MelbourneLegal RequirementAgência Nacional de Vigilância Sanitária (ANVISA), BrazilDrugs Controller General, IndiaEuropean CommissionFood and Drug Administration (FDA) Amendment Act 2007Ministerio de Salud, ArgentinaMinistry of Health, Israel: Guidelines for Clinical Trials In Human SubjectsDepartment of Health, South Africa (2 links below)National Health Act of 2004South African Good Clinical Practice Guidelines - 2006Swiss National Clinical Trials Portal (SNCTP/Kofam)National Research Ethics Oversight AgenciesNational Statement on Ethical Conduct in Human Research (2007), AustraliaTri-Council Policy Statement: Ethical Conduct for Research Involving Humans (TCPS), CanadaProfessional OrganizationsAmerican Medical AssocationEuropean Medical Research Councils / European Science FoundationFairDrugs.org: Call for Ethical Clinical Trials in Developing CountriesNational Health and Medical Research Council: Australian Code for the Responsible Conduct of ResearchPan American Health OrganizationRed Latinoamericana de Ética y Medicamentos (RELEM): The Buenos Aires Declaration on the Ethics of Clinical TrialsThe Association for Research in Vision and OphthalmologyThe Society for Clinical TrialsWorld Medical Association: Declaration of HelsinkiPublishersBritish Medical Journal (BMJ)Council of Science Editors (CSE)Pan American Journal of Public HealthInternational Committee of Medical Journal Editors (ICMJE)SciELO (Scientific Electronic Library Online)Statement on Publishing Clinical Trials in Indian Biomedical Journals. Indian J Med Res 127, February 2008, pp 104-105Joint
 Statement of Establishing Chinese Clinical Trial Registration and 
Publication System. Chinese Clinical Trial Registration and Publication 
CollaborationWorld Association of Medical Journal Editors (WAME)UniversitiesBoston University Medical CampusImperial College LondonUniversity of Oxford"
Is it best to limit information on the magnitude of the tragedy?,"Restricting access to information creates a lack of confidence in the population, which can lead to misconduct and even violence.Source: WHO/PAHO Myths and Realities in the Management of Dead Bodies"
Are new types of ITNs more expensive than pyrethroid-only LLINs?,"All new types of ITNs currently cost more than a pyrethroid-only LLIN. Specific costs will depend on the size of the net, quantities purchased, lead times and other variables."
"In the context of new types of ITNs, what is the difference between a net being prequalified by WHO and a net having an associated specific WHO policy recommendation?","The WHO prequalification process assesses vector control products for their safety, quality and entomological efficacy against published evaluation standards. Currently prequalified new types of ITNs have demonstrated that they are safe and effective for their intended use. Questions on long-term durability remain, particularly with regards to the wash-resistance of the  synergist piperonyl butoxide (PBO) and of chlorfenapyr and pyriproxyfen. The WHO prequalification team for vector control have initiated a review of these products to address these questions.WHO policy recommendations, in turn, are developed based on the WHO guideline development  process, which requires evidence on the impact of an intervention in reducing the targeted disease(s). Given that ITNs with active ingredients other than pyrethroids have been designed to provide improved disease control in areas where malaria vectors have become insecticide resistant, the development of a policy recommendation for these new products requires demonstration of their public health value by means of at least two trials with epidemiological endpoints. In 2017, WHO granted – on an exceptional basis – a conditional policy recommendation for pyrethroid-PBO ITNs. The recommendation was developed based on  findings from one trial in Tanzania and will remain conditional until data from at least one more trial conducted over 2 years have confirmed the enhanced impact on malaria that was demonstrated in the first study."
Interceptor® G2 and Royal Guard® are not covered by a specific WHO policy recommendation – what does this mean in practice?,"Interceptor® G2 and Royal Guard® were added, on an exceptional basis, to the list of WHO-prequalified vector control products during the WHO transition from the WHO Pesticide Evaluation Scheme to the new WHO evaluation process for vector control
    interventions. While both nets meet WHO standards for safety, there are no available epidemiological data to indicate whether Interceptor® G2 and Royal Guard® would control malaria better than a pyrethroid-only LLIN. For lack of a better alternative, both products are considered as covered by
    the WHO policy recommendation for pyrethroid-only nets. As soon as data on the epidemiological impact of these two products have been generated and reviewed by WHO’s Vector Control Advisory Group (VCAG), WHO will formulate specific policy recommendations.Meanwhile, WHO recognizes that some Member States may be interested in deploying new types of ITNs not covered by specific policy recommendations. Guidance for such countries is included in the question ""When should a country consider purchasing a new type of ITN?"""
When should a country consider purchasing a new type of ITN?,"WHO released conditional recommendations on deployment of pyrethroid-PBO nets in 2017, including guidance on the characteristics of settings
    most likely to benefit from deployment of pyrethroid-PBO nets. Over the last 2 years, WHO has worked with partners in translating these recommendations into the practical deployment of pyrethroid-PBO nets. This experience has shown that data on specific contextual characteristics – particularly data on involvement of monooxygenases – are often not available at county or province level and that countries are forced to extrapolate from existing
    data points. To support pragmatic decision-making, WHO has developed a simplified overview of areas where deployment of pyrethroid-PBO nets may be most beneficial, based on current available evidence (See figure 10.2 of the World malaria report 2019). Given
 the resource constraints of national malaria programmes and supply constraints for pyrethroid-PBO nets, further prioritization will be required to target any pyrethroid-PBO nets within the country. WHO recommends that within eligible areas, those
    with the highest malaria burden are prioritized.For other types of new ITNs, no deployment guidance has been developed as this would normally accompany a WHO policy recommendation. WHO recognizes that some Member States may be interested in deploying new types of ITNs not covered by specific policy
    recommendations, for example to start generating local cost-effectiveness evidence to inform national prioritization processes or as part of an insecticide resistance management strategy.In the absence of such a WHO policy recommendation and associated deployment guidance, WHO Member States that wish to deploy Interceptor® G2 or Royal Guard® are advised in the meantime to ensure any deployment supports building the local
    evidence base, with the ultimate aim of generating cost-effectiveness estimates to inform national prioritization processes. Consideration should be given to the ability of the health system and/or national research partners to generate data on the
    effectiveness of the chosen products in the local context. Areas targeted should be those where pyrethroid resistance in the main malaria vector(s) has been confirmed using WHO Test procedures for insecticide resistance monitoring. In principle, the targeting of high(er) endemicity areas should be considered, with a view to achieving maximum impact. Consideration should also be given to the need to sustain access to these or similar tools if additional epidemiological impact
    is demonstrated in the ongoing trials.WHO recommends that WHO Member States considering deploying Interceptor® G2 or Royal Guard® do so only as part of a wider decision-making exercise on the most effective use of available malaria control funding. WHO further advises that any such
    deployment should not come at the expense of reducing existing ITN coverage."
Is there a specific threshold at which pyrethroid-only LLINs fail to work? Is there a specific pyrethroid-resistance threshold at which a switch to a new type of ITN is recommended by WHO?,"There is no specific resistance threshold at which pyrethroid-only LLINs are considered to fail or at which these nets should be withdrawn from targeted areas. A WHO-coordinated multi-country study comparing net users with non-users living in areas where the main malaria vectors had developed pyrethroid resistance has shown that, irrespective of pyrethroid resistance, users of nets were significantly better protected from malaria than non-users.
    WHO recommends that, irrespective of pyrethroid resistance, populations in malaria-endemic areas should continue to use pyrethroid-only LLINs to reduce their risk of infection. Nevertheless, the multi-country study indicated that pyrethroid-only LLINs
    provide only partial protection against malaria. To achieve the targets set out in the Global technical strategy for malaria 2016–2030,
 WHO recognizes that the integration of new interventions, including new types of nets, will be essential. Such integration should be informed by evidence of the public health value of the new interventions.Guidance on the selection of malaria vector control interventions based on insecticide resistance data is provided in section 3.1 of the 
Guidelines for malaria vector control
. For pyrethroid-PBO ITNs, this guidance is consistent with that provided earlier in this Q&A document and in the corresponding  policy recommendation. Interceptor®
 G2 and Royal Guard® are currently not included in this guidance due to the absence of a specific WHO policy recommendation; guidance for countries considering deploying these products in the meantime is provided under the question ""When should a country consider purchasing a new type of ITN?"""
What is the scale-back strategy in the event that new types of ITNs not currently covered by WHO policy recommendations fail to demonstrate public health value?,"In the event that public health value cannot be demonstrated by Interceptor® G2 or Royal Guard®, no WHO policy recommendation will be issued, and therefore, the current WHO prequalification listing of these two products would be reviewed. WHO Member States that chose to deploy these new types of ITNs would then be able to phase them out during the next mass distribution campaign and through their routine systems.  With new types of ITNs being at least as effective as pyrethroid-only LLINs, no harm will have been done."
What messages should the national malaria control programme communicate with respect to new types of ITNs to communities and authorities in malaria-endemic areas?,"It is recommended that communication on new types of ITNs be informed by currently available evidence on their likely impact, rather than by assumptions. Managing expectations at this time – where evidence of public health value of new types of ITNs is scarce – is crucial. A framework to inform the development of a communications strategy, as developed by the Alliance for Malaria Prevention, is provided at the following link."
What is the Unitaid/Global Fund ‘New Nets Project’?,"The project aims to increase the evidence base for new nets and reduce the cost to an affordable level to facilitate scale-up should these nets receive a WHO policy recommendation. The project includes the following components:Randomized controlled trials to produce the robust epidemiological evidence needed for WHO to consider making a policy recommendation around these nets.Support procurement of volumes of the new nets that allow a limited number of pilots to take place and can be used as leverage to negotiate lower prices for these new nets.Support effectiveness pilots in four key eco-epidemiological settings within sub-Saharan Africa to help develop a better understanding of the relative cost-effectiveness of these tools compared to standard nets (and in some cases
        to PBO nets). These will be undertaken in 4 sites: Burkina Faso, Mozambique, Nigeria and Rwanda. These pilots will be conducted within an intense evaluative framework. Support other ‘operational’ pilots in limited areas where the focus is on allowing early access to these new tools in areas that may particularly benefit from any additional impact, collect operational experience to inform
        lessons learned on conducting national campaigns with multiple types of nets, and support the procurement of the volumes required to bring the price of the product down to an affordable level by the end of the project. The ‘New Nets Project’ supports work on Interceptor® G2 and Royal Guard®, not on pyrethroid-PBO nets."
How can readers seek clarifications or ask additional questions?,"This Q&A is intended as a “living” document that will be updated periodically in the coming months and years, and that will inform the refinement of WHO Guidelines on malaria vector control. If any of the information presented here is unclear or if specific questions of relevance in your context have not been included, please let us know. Send us your feedback and questions at vcguidelines@who.int."
When should a UTN be obtained?,"It is recommended that the UTN be obtained as soon as the 
first draft of the protocol has been compiled, although it can be 
obtained either sooner or later. For example:as soon as an investigator has an ideaas soon as the idea becomes a research proposalat the time the first draft of the protocol is compiledat the time the first meeting is held to discuss the protocolat the time the first meeting of potential investigators is heldA UTN may be obtained later in the trial's history (e.g. at 
the time of submission to the first ethics committee, or at the time of 
submission to a funding agency). It is likely to be more effective in 
unambiguously identifying a trial, though, if it is obtained early."
How can we obtain a UTN?,"Go to www.who.int/trialsearch/utn.aspx and follow the instructions.The process of obtaining a UTN involves 2 stages:applying for and obtaining a security codeapplying for and obtaining the UTNTo apply for the security code, the applicant will need to provide:the name of the individual submitting the request (Requestor)the email address of the individual submitting the requestthe Requestor's organizationAn email containing a secure hyperlink will then be sent to 
the email address entered. You should click on the hyperlink which will 
take you to the 'Get UTN' web site, where you should click on 'Get UTN'.
 The UTN will then be sent to you in an email."
Who should obtain the UTN?,"The Sponsor, the Principal Investigator or other appropriate 
person (for example, the administrator of a collaborative trials group) 
should obtain a UTN for each trial."
How many UTNs should a trial have?,One only.
What should we do with the UTN?,"You should use it every time you need to identify the trial. The 
UTN should be submitted whenever the trial is registered. It may be 
entered into a field dedicated specifically to the UTN, or it may be 
entered into the secondary identifier field."
Is the UTN mandatory?,"No, the UTN is not currently mandatory, although some registries 
may choose to make providing the UTN mandatory in order to register a 
trial on their registry."
What should we do if a trial registry does not have a separate field for the UTN?,"If a trial registry does not have a specific field for the UTN, enter it in the secondary identifier field.No, the UTN is not currently mandatory, although some registries 
may choose to make providing the UTN mandatory in order to register a 
trial on their registry."
Who is responsible for registering a trial?,"An appropriate representative of the trial’s primary Sponsor.
 The Responsible Registrant is responsible for ensuring that the trial 
is properly registered. The primary Sponsor may or may not be the 
primary funder. The responsible registrant should make every reasonable 
effort to ensure that a trial is registered once and only once in any 
one register, and that the trial is registered in the fewest number of 
registers necessary to meet applicable regulations."
When should trials be registered?,Trials should be registered before the first participant is recruited.
Can I register with the WHO ICTRP?,"No, WHO does not maintain its own registry so you cannot register your trial directly with us."
What information needs to be registered?,"The minimum information that must be registered is specified in the WHO Trial Registration Data Set. Individual registers may request more information than this (e.g., study sites)."
Are there software or hardware specifications that should be followed for building a trial registry?,"Yes, please contact us."
